"Categoria del Menu","Elementos del Men","Tamaño por porción","Energia (kCal)","Proteinas(g)","Grasa total (g)","Grasas saturadas (g)","Colesterol(mg)","Carbohidratos totales (g)","Azúcares totales (g)","Sodio (mg)"
"Menu Regular ","McVeggie™ Burger","168 g","40205","1024","1383","534","249","5654","79","70613"
"Menu Regular ","McAloo Tikki Burger®","146 g","33952","85","1131","427","147","5027","705","54534"
"Menu Regular ","McSpicy™ Paneer Burger","199 g","65276","2029","3945","1712","2185","5233","835","107458"
"Menu Regular ","Spicy Paneer Wrap","250 g","67468","2096","391","1973","4093","5927","35","108746"
"Menu Regular ","American Veg Burger","177 g","51217","153","2345","1051","2524","5696","785","105124"
"Menu Regular ","Veg Maharaja Mac","306 g","83267","2417","3794","1683","3619","9384","1152","152922"
"Menu Regular ","Green Chilli Aloo Naan","132 g","35609","791","1508","611","945","4636","453","5796"
"Menu Regular ","Pizza Puff","87 g","22821","545","1144","572","517","2479","273","39074"
"Menu Regular ","Mc chicken Burger","173 g","4008","1566","157","547","3117","4798","553","76633"
"Menu Regular ","FILLET-O-FISH Burger","136 g","34811","1544","1416","579","3283","3885","558","53054"
"Menu Regular ","Mc Spicy Chicken Burger","186 g","45192","2146","1936","763","6604","4608","588","92852"
"Menu Regular ","Spicy Chicken Wrap","257 g","56719","2374","2689","1254","8763","5706","252","115238"
"Menu Regular ","Chicken Maharaja Mac","296 g","68912","340","3669","1033","8149","5539","892","185471"
"Menu Regular ","American Chicken Burger","165 g","44695","2029","2294","728","4763","3854","748","11323"
"Menu Regular ","Chicken Kebab Burger","138 g","35705","864","1402","484","151","479","508","54879"
"Menu Regular ","Green Chilli Kebab naan","138 g","23095","567","932","327","874","3106","364","41078"
"Menu Regular ","Mc Egg Masala Burger","126.2 g","29042","1245","1227","364","21309","3289","489","75791"
"Menu Regular ","Mc Egg Burger for Happy Meal","123 g","28298","1229","1221","363","21309","3132","466","39941"
"Menu Regular ","Ghee Rice with Mc Spicy Fried Chicken 1 pc","325 g","7203","2691","292","508","3132","7747","328","239949"
"Menu Regular ","McSpicy Fried Chicken 1 pc","115 g","24876","1733","1429","282","3111","127","58","87389"
"Menu Regular ","4 piece Chicken McNuggets","64 g","16968","1003","954","445","2466","105","32","31325"
"Menu Regular ","6 piece Chicken McNuggets","96 g","25452","1504","143","668","3699","1574","48","46987"
"Menu Regular ","9 piece Chicken McNuggets","144 g","38177","2256","2146","1002","5548","2362","72","70481"
"Menu Regular ","2 piece Chicken Strips","58 g","16444","1017","1238","1141","301","268","29","47722"
"Menu Regular ","3 piece Chicken Strips","87 g","24665","1526","1857","1712","4515","402","44","71583"
"Menu Regular ","5 piece Chicken Strips","145 g","41109","2543","2854","15","67","73","72","119305"
"Menu Regular ","Regular Fries","77 g","22459","338","1039","497","77","2708","39","15315"
"Menu Regular ","Medium Fries","109 g","31792","479","147","704","109","3834","55","21679"
"Menu Regular ","Large Fries","154 g","44917","676","2077","995","154","5416","77","30629"
"Menu Regular ","Regular Wedges","114 g","20465","397","715","339","97","2874","48","35644"
"Menu Regular ","Medium Wedges","156 g","28005","544","979","464","133","3933","66","48776"
"Menu Regular ","Large Wedges","216 g","38776","753","1355","643","184","5446","92","67535"
"Menu Regular ","L1 Coffee with milk","205 ml","358","10","20","12","60","16","345","140"
"Menu Regular ","Double Chocochips Muffin","80 g","34168","513","1728","714","1596","4013","2944","31321"
