"Categoria_del_Menu","Elementos_del_Menu","Tamano_por_porcion","Energia ","Proteinas","Grasa_total ","Grasas_saturadas ","Colesterol","Carbohidratos_totales ","Azucares_totales ","Sodio "
"Menu_Regular ","McVeggie_Burger","168","40205","1024","1383","534","249","5654","79","70613"
"Menu_Regular ","McAloo_Tikki_Burger","146","33952","85","1131","427","147","5027","705","54534"
"Menu_Regular ","McSpicy_Paneer Burger","199","65276","2029","3945","1712","2185","5233","835","107458"
"Menu_Regular ","Spicy_Paneer_Wrap","250","67468","2096","391","1973","4093","5927","35","108746"
"Menu_Regular ","American_Veg_Burger","177","51217","153","2345","1051","2524","5696","785","105124"
"Menu_Regular ","Veg_Maharaja_Mac","306","83267","2417","3794","1683","3619","9384","1152","152922"
"Menu_Regular ","Green_Chilli_Aloo_Naan","132","35609","791","1508","611","945","4636","453","5796"
"Menu_Regular ","Pizza_Puff","87","22821","545","1144","572","517","2479","273","39074"
"Menu_Regular ","Mc_chicken_Burger","173","4008","1566","157","547","3117","4798","553","76633"
"Menu_Regular ","FILLET_FISH_Burger","136","34811","1544","1416","579","3283","3885","558","53054"
"Menu_Regular ","Mc_Spicy_Chicken_Burger","186","45192","2146","1936","763","6604","4608","588","92852"
"Menu_Regular ","Spicy_Chicken_Wrap","257","56719","2374","2689","1254","8763","5706","252","115238"
"Menu_Regular ","Chicken_Maharaja_Mac","296","68912","340","3669","1033","8149","5539","892","185471"
"Menu_Regular ","American_Chicken_Burger","165","44695","2029","2294","728","4763","3854","748","11323"
"Menu_Regular ","Chicken_Kebab_Burger","138","35705","864","1402","484","151","479","508","54879"
"Menu_Regular ","Green_Chilli_Kebab naan","138","23095","567","932","327","874","3106","364","41078"
"Menu_Regular ","Mc_Egg_Masala_Burger","126.2 ","29042","1245","1227","364","21309","3289","489","75791"
"Menu_Regular ","Mc_Egg_Burger_for_Happy_Meal","123","28298","1229","1221","363","21309","3132","466","39941"
"Menu_Regular ","Ghee_Rice_with_Mc_Spicy_Fried_Chicken ","325","7203","2691","292","508","3132","7747","328","239949"
"Menu_Regular ","McSpicy_Fried_Chicken ","115","24876","1733","1429","282","3111","127","58","87389"
"Menu_Regular ","4_piece_Chicken_McNuggets","64","16968","1003","954","445","2466","105","32","31325"
"Menu_Regular ","6_piece_Chicken_McNuggets","96","25452","1504","143","668","3699","1574","48","46987"
"Menu_Regular ","9_piece_Chicken_McNuggets","144","38177","2256","2146","1002","5548","2362","72","70481"
"Menu_Regular ","2_piece_Chicken_Strips","58","16444","1017","1238","1141","301","268","29","47722"
"Menu_Regular ","3_piece_Chicken_Strips","87","24665","1526","1857","1712","4515","402","44","71583"
"Menu_Regular ","5_piece_Chicken_Strips","145","41109","2543","2854","15","67","73","72","119305"
"Menu_Regular ","Regular_Fries","77","22459","338","1039","497","77","2708","39","15315"
"Menu_Regular ","Medium_Fries","109","31792","479","147","704","109","3834","55","21679"
"Menu_Regular ","Large_Fries","154","44917","676","2077","995","154","5416","77","30629"
"Menu_Regular ","Regular_Wedges","114","20465","397","715","339","97","2874","48","35644"
"Menu_Regular ","Medium_Wedges","156","28005","544","979","464","133","3933","66","48776"
"Menu_Regular ","Large_Wedges","216","38776","753","1355","643","184","5446","92","67535"
"Menu_Regular ","L1_Coffee_with_milk","205","358","10","20","12","60","16","345","140"
"Menu_Regular ","Double_Chocochips_Muffin","80","34168","513","1728","714","1596","4013","2944","31321"
"Menu_Regular ","Vanilla_Chocochips_Muffin","80","32929","448","1546","714","7852","4013","296","25492"
"Menu_de_desayuno","Veg_McMuffin","119","30935","1022","1178","729","2531","3886","302","80463"
"Menu_de_desayuno","Double_Cheese_McMuffin","100","27378","958","1282","884","3775","290","259","62295"
"Menu_de_desayuno","Spicy_Egg_McMuffin","123.2 ","27827","1149","1181","343","21261","3137","263","7736"
"Menu_de_desayuno","Sausage_Mc_Muffin","112","28144","1625","1081","604","5302","2862","238","7426"
"Menu_de_desayuno","Sausage_Mc_Muffin_with_egg","157","29042","2246","1594","808","2648","2887","261","80404"
"Menu_de_desayuno","Egg_McMuffin","112","28346","1405","1231","692","2333","2812","238","51931"
"Menu_de_desayuno","Hot_Cake_with_maple_syrup","142","43298","86","1402","711","2814","6801","2572","61574"
"Menu_de_desayuno","Hash_Brown","64","14029","193","732","342","64","1563","32","27526"
"Menu_de_desayuno","Espresso","26.5","1287","52","3","3","27","255","13","32"
"Menu_de_desayuno","Espresso_Machiato","76.5 ","4498","209","202","149","627","497","25","2605"
"Menu_de_desayuno","Americano_S","276.5 ","1287","52","3","3","27","255","13","32"
"Menu_de_desayuno","Americano_R","347.5 ","2307","94","5","5","48","457","24","57"
"Menu_de_desayuno","Americano_L","455","2671","109","6","6","55","53","28","65"
"Menu_de_desayuno","Cappuccino_S","201.5 ","12525","602","701","515","2127","1102","84","9039"
"Menu_de_desayuno","Cappuccino_R","297.5 ","18361","879","1002","737","3048","1667","1205","12924"
"Menu_MacCafe","Cappuccino_L","355","21936","1051","1203","885","3655","1981","1445","15506"
"Menu_MacCafe","Latte_S","236.5 ","14772","712","841","618","2547","1271","1006","1084"
"Menu_MacCafe","Latte_R","307.5 ","19003","91","1042","767","3168","1715","1252","13439"
"Menu_MacCafe","Latte_L","375","2322","1114","1282","943","3895","2077","154","16536"
